Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0630931864277919,-0.000422437093534056,-0.430586750068306,0,0,0,0.0440398817502708,5.49008933888164E-05,-3.07838905546442E-07,1.97875073583299E-06,8.52729666533234E-06,-7.1668123423511E-10,4.98635363094212E-05,0,0,0,0,0,0,package://DexCap_v3/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://DexCap_v3/meshes/base_link.STL,,RL-WA-Board-Modi(Modi)-1-1;RL-Joint-WR(__-_flexible6)-1-1/RL-WR-C-1-1;RL-Joint-WR(__-_flexible6)-1-1/RL-WR-A-1-1,坐标系0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
waist_link_1,-0.0411991666064392,0.0410064851694155,9.10675926758068E-06,0,0,0,0.0418771435578573,1.89378440895573E-05,1.40099001815212E-05,2.75368526438087E-07,1.90692136929288E-05,-2.74109582655286E-07,2.98796587109041E-05,0,0,0,0,0,0,package://DexCap_v3/meshes/waist_link_1.STL,0.898039215686275,0.913725490196078,0.925490196078431,1,0,0,0,0,0,0,package://DexCap_v3/meshes/waist_link_1.STL,,RL-Joint-WR(__-_flexible6)-1-1/RL-WR-B2-1-1;RL-Joint-WR(__-_flexible6)-1-1/RL-WR-B-1-1;RL-WR-Rod-1(WA-Rod-3)-1-1;RL-Joint-C(__-_flexible4)-1-1/RL-C-C-1-1,坐标系w_1,a_w_1,waist_joint_1,revolute,-0.094803,0,-0.43276,1.5708,0,0,base_link,0,0,-1,0,0,-3.1416,3.1416,,,,,,,,
waist_link_2,0.00121680085627097,1.38120373036066E-05,0.0444138239400643,0,0,0,0.01767886911966,4.43932417853619E-06,2.95172436200552E-09,-3.52317218989404E-07,4.94084422529294E-06,-1.84708003036118E-09,2.27266910279198E-06,0,0,0,0,0,0,package://DexCap_v3/meshes/waist_link_2.STL,1,1,1,1,0,0,0,0,0,0,package://DexCap_v3/meshes/waist_link_2.STL,,RL-WA-Rod-2-1-1;RL-Joint-WR(__-_flexible5)-1-1/RL-WR-C-1-1;RL-Joint-WR(__-_flexible5)-1-1/RL-WR-A-1-1,坐标系w_2,a_w_2,waist_joint_2,revolute,-0.076334,0.075977,0,2.3585,-1.5708,0,waist_link_1,0,0,1,0,0,-3.1416,3.1416,,,,,,,,
waist_link_3,0.0723329331985119,0.00032464121468373,-9.65841364722194E-05,0,0,0,0.0479941122284867,6.29893851015422E-06,2.98934496773012E-11,-1.66699182942129E-07,4.88179946401882E-05,-1.25145027726795E-12,4.3709535800671E-05,0,0,0,0,0,0,package://DexCap_v3/meshes/waist_link_3.STL,0.898039215686275,0.913725490196078,0.925490196078431,1,0,0,0,0,0,0,package://DexCap_v3/meshes/waist_link_3.STL,,RL-Joint-WR(__-_flexible5)-1-1/RL-WR-B-1-1;RL-Joint-WR(__-_flexible5)-1-1/RL-WR-B2-1-1;RL-WR-Rod-1(WA-Rod-1)-1-1;RL-Joint-WR(__-_flexible4)-1-1/RL-WR-C-1-1;RL-Joint-WR(__-_flexible4)-1-1/RL-WR-A-1-1,坐标系w_3,a_w_3,waist_joint_3,revolute,0,0,0.0828,1.5707963267949,0.787742096537216,1.5707963267949,waist_link_2,0,0,1,0,0,-3.1416,3.1416,,,,,,,,
waist_link_4,-0.000304878530911726,0.00264286663211533,-0.00108460663332032,0,0,0,0.0129486242824265,1.2550881316379E-06,3.07837968601309E-07,-1.18110459404384E-23,7.71456924457374E-07,-2.08490250130777E-22,1.58440943720495E-06,0,0,0,0,0,0,package://DexCap_v3/meshes/waist_link_4.STL,0.898039215686275,0.913725490196078,0.925490196078431,1,0,0,0,0,0,0,package://DexCap_v3/meshes/waist_link_4.STL,,RL-Joint-WR(__-_flexible4)-1-1/RL-WR-B2-1-1;RL-Joint-WR(__-_flexible4)-1-1/RL-WR-B-1-1;RL-Joint-WR(__)-1-1/RL-WR-A-1-1;RL-Joint-WR(__)-1-1/RL-WR-C-1-1,坐标系w_4,a_w_4,waist_joint_4,revolute,0.16,0.00037503,0,0,0,0,waist_link_3,0,0,-1,0,0,-3.1416,3.1416,,,,,,,,
waist_link_5,-0.0242625662778771,0.188298657473503,0.031042347578289,0,0,0,0.800247665471353,0.00270602225574531,-2.19270165136332E-06,-6.49031772027734E-06,0.00417920907970252,-0.000498073354470881,0.00638574038550345,0,0,0,0,0,0,package://DexCap_v3/meshes/waist_link_5.STL,0.898039215686275,0.913725490196078,0.925490196078431,1,0,0,0,0,0,0,package://DexCap_v3/meshes/waist_link_5.STL,,RL-Joint-WR(__)-1-1/RL-WR-B-1-1;RL-Joint-WR(__)-1-1/RL-WR-B2-1-1;RL-Tail-Bracket-1-1;RL-DX-V4.02-01-01 ___(Modi)-1-1;prevailing torque nut style 1 insert_din(DIN EN ISO 7040 - M12 - N)-1-1;RL-Control-Box_0704-1-1;RL-Battery+Main-1-1;prevailing torque nut style 1 insert_din(DIN EN ISO 7040 - M20 - N)-1-1;prevailing torque nut style 1 insert_din(DIN EN ISO 7040 - M20 - N)-1-2;RL-Part1-1-3;RL-Part1-1-9;RL-Joint-C(__-_flexible6)-1-1/RL-C-C-1-1;RL-Joint-C(__-_flexible2)-1-1/RL-C-C-1-1,坐标系w_5,a_w_5,waist_joint_5,revolute,-0.00020000000002969,0.01900000000001,0,0,1.5707963267949,0,waist_link_4,0,0,1,0,0,-3.1416,3.1416,,,,,,,,
arm_left_link_1,0.000491692755282312,8.07881928223965E-08,0.0180529941312758,0,0,0,0.0291901572853305,3.36736877255278E-06,8.66553920834977E-11,-7.62365761081616E-07,5.24618942714991E-06,-1.99502705105374E-11,5.18916488235103E-06,0,0,0,0,0,0,package://DexCap_v3/meshes/arm_left_link_1.STL,0.749019607843137,0.749019607843137,0.749019607843137,1,0,0,0,0,0,0,package://DexCap_v3/meshes/arm_left_link_1.STL,,RL-Part1-1-10;RL-Joint-S(__-_flexible3)-1-1/RL-S-A-1-1;RL-Joint-S(__-_flexible3)-1-1/RL-S-C-1-1,坐标系l_1,a_l_1,arm_left_joint_1,revolute,0.2142,0.279,0.070023,0,1.5708,0,waist_link_5,0,0,-1,0,0,-3.1416,3.1416,,,,,,,,
arm_left_link_2,0.0102730214984517,-0.0285830464236879,0.000353452321258163,0,0,0,0.0642318746332446,2.30867042039257E-05,2.77069669390713E-07,-8.63100971408862E-12,6.78871609081445E-06,5.68881547154965E-12,2.27519054468147E-05,0,0,0,0,0,0,package://DexCap_v3/meshes/arm_left_link_2.STL,0.898039215686275,0.913725490196078,0.925490196078431,1,0,0,0,0,0,0,package://DexCap_v3/meshes/arm_left_link_2.STL,,RL-Joint-S(__-_flexible3)-1-1/RL-S-B(Modi0718)-1-1;RL-Joint-S(__-_flexible3)-1-1/RL-S-B2(Modi0718)-1-1;RL-Part1-1-11;RL-Joint-C(__-_flexible5)-1-1/RL-C-C-1-1,坐标系l_2,a_l_2,arm_left_joint_2,revolute,0,0,0.0365,3.1416,-1.5708,0,arm_left_link_1,0,0,-1,0,0,-3.1416,3.1416,,,,,,,,
arm_left_link_3,-0.00733992996293159,0.000166259726387946,0.11062104373699,0,0,0,0.138269534134036,0.000365670556027247,-3.87828013482665E-09,2.54070139340245E-05,0.000370256124751617,2.10574873034976E-08,1.91791971761677E-05,0,0,0,0,0,0,package://DexCap_v3/meshes/arm_left_link_3.STL,0.749019607843137,0.749019607843137,0.749019607843137,1,0,0,0,0,0,0,package://DexCap_v3/meshes/arm_left_link_3.STL,,RL-Part1-1-12;RL-Joint-S(__-_flexible4)-1-1/RL-S-B(Modi0718)-1-1;RL-Joint-S(__-_flexible4)-1-1/RL-S-B2(Modi0718)-1-1,坐标系14,a_l_3,arm_left_joint_3,revolute,0.015,-0.0778,0,1.5708,0,0,arm_left_link_2,0,0,-1,0,0,-3.1416,3.1416,,,,,,,,
arm_left_link_4,-5.54231536781247E-05,-0.108068569915374,-9.07055910222271E-05,0,0,0,0.155007696193009,0.00020149844235198,1.19077293006666E-07,-3.11698268436826E-09,1.69189216785844E-05,7.47862962917814E-07,0.00019958368356289,0,0,0,0,0,0,package://DexCap_v3/meshes/arm_left_link_4.STL,0.749019607843137,0.749019607843137,0.749019607843137,1,0,0,0,0,0,0,package://DexCap_v3/meshes/arm_left_link_4.STL,,RL-Part1-1-13;RL-Joint-S(__-_flexible4)-1-1/RL-S-A-1-1;RL-Joint-S(__-_flexible4)-1-1/RL-S-C-1-1;RL-Joint-C(__-_flexible7)-1-1/RL-C-C-1-1,坐标系l_4,a_l_4,arm_left_joint_4,revolute,-0.034999999999851,0,0.1922,-1.5707963267949,0,0,arm_left_link_3,0,0,1,0,0,-3.1416,3.1416,,,,,,,,
