Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.023761860315371,0.00951380358483844,-0.0171477452899252,0,0,0,0.0800001363416735,8.60941152571589E-05,2.7160955180655E-05,-8.778460116554E-06,7.23337755569218E-05,7.90537520408906E-06,0.000150602962193877,0,0,0,0,0,0,package://DexGlove_R_v3/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://DexGlove_R_v3/meshes/base_link.STL,,数采手套标定工装-0815.stp-1/数采手套-右.stp-1/DX027-40201-上盖-电池.1-37.stp-1;数采手套标定工装-0815.stp-1/数采手套-右.stp-1/DX027-40108-上盖-外壳.1-40.stp-1;数采手套标定工装-0815.stp-1/数采手套-右.stp-1/数采手套-左-2.stp-1/框架外壳模组-2.stp-1/DC014-拇指压板-上.1-30.stp-1;数采手套标定工装-0815.stp-1/数采手套-右.stp-1/DX027-40101-手掌底座.1-39.stp-1;数采手套标定工装-0815.stp-1/数采手套-右.stp-1/数采手套-左-2.stp-1/框架外壳模组-2.stp-1/DX-V4.02-03-17 开关拨片.1-29.stp-1;数采手套标定工装-0815.stp-1/数采手套-右.stp-1/数采手套-左-2.stp-1/框架外壳模组-2.stp-1/DX-V4.02-03-19 导光管-2.stp-1/DX-V4.02-03-19 导光管.1-28.stp-1;数采手套标定工装-0815.stp-1/数采手套-右.stp-1/数采手套-左-2.stp-1/五指模组-2.stp-1/DX-V4.02-03-04 芯轴.8.1.1.1-25.stp-3;数采手套标定工装-0815.stp-1/数采手套-右.stp-1/数采手套-左-2.stp-1/五指模组-2.stp-1/DX-V4.02-03-04 芯轴.8.1.1.1-25.stp-4;数采手套标定工装-0815.stp-1/数采手套-右.stp-1/数采手套-左-2.stp-1/五指模组-2.stp-1/DX-V4.02-03-04 芯轴.8.1.1.1-25.stp-2;数采手套标定工装-0815.stp-1/数采手套-右.stp-1/数采手套-左-2.stp-1/五指模组-2.stp-1/DX-V4.02-03-04 芯轴.8.1.1.1-25.stp-1,坐标系r_0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
glove_link_r_1_1,-0.00215560282431622,-0.00338452396256511,-0.0131217612115497,0,0,0,0.00385822214196221,2.65496370188704E-07,-5.80377894359212E-09,6.46131186950765E-09,2.67304557171569E-07,-3.27448436607223E-08,2.83529407418494E-07,0,0,0,0,0,0,package://DexGlove_R_v3/meshes/glove_link_r_1_1.STL,1,1,1,1,0,0,0,0,0,0,package://DexGlove_R_v3/meshes/glove_link_r_1_1.STL,,数采手套标定工装-0815.stp-1/数采手套-右.stp-1/数采手套-左-2.stp-1/五指模组-2.stp-1/外壳-拇指旋转-23.stp-1;数采手套标定工装-0815.stp-1/数采手套-右.stp-1/数采手套-左-2.stp-1/五指模组-2.stp-1/DX-V4.02-03-11 拇指旋转-26.stp-1;数采手套标定工装-0815.stp-1/数采手套-右.stp-1/数采手套-左-2.stp-1/五指模组-2.stp-1/DX-V4.02-03-04 芯轴.10-3.stp-1,坐标系r_1_1,a_r_1_1,glove_joint_r_1_1,revolute,-0.020715,0.061876,-0.050557,1.0492,1.5085,-1.5708,base_link,0,0,-1,0,0,-3.1416,3.1416,,,,,,,,
glove_link_r_1_2,0.000703204634177113,0.0127309630254523,-0.00288012020718703,0,0,0,0.00199934399680952,1.4141492897948E-07,-5.06019699424475E-09,1.28470320759737E-09,5.78189620081375E-08,2.26573887461125E-08,1.46649343573011E-07,0,0,0,0,0,0,package://DexGlove_R_v3/meshes/glove_link_r_1_2.STL,1,1,1,1,0,0,0,0,0,0,package://DexGlove_R_v3/meshes/glove_link_r_1_2.STL,,数采手套标定工装-0815.stp-1/数采手套-右.stp-1/数采手套-左-2.stp-1/五指模组-2.stp-1/DX-V4.02-03-02 过渡连接杆.5-27.stp-1;数采手套标定工装-0815.stp-1/数采手套-右.stp-1/数采手套-左-2.stp-1/五指模组-2.stp-1/DX-V4.02-03-04 芯轴.10-3.stp-8,坐标系r_1_2,a_r_1_2,glove_joint_r_1_2,revolute,0,0,-0.01925,-1.5708,0.031013,-0.054007,glove_link_r_1_1,0,0,-1,0,0,-3.1416,3.1416,,,,,,,,
glove_link_r_1_3,0.0300564898606841,0.0332986622768831,0.00327888929656313,0,0,0,0.00757174828550405,3.77011461304591E-06,-2.69626743699442E-06,1.55556957056538E-08,2.22966959980734E-06,6.16335901993104E-09,5.88475844741757E-06,0,0,0,0,0,0,package://DexGlove_R_v3/meshes/glove_link_r_1_3.STL,1,1,1,1,0,0,0,0,0,0,package://DexGlove_R_v3/meshes/glove_link_r_1_3.STL,,数采手套标定工装-0815.stp-1/数采手套-右.stp-1/数采手套-左-2.stp-1/五指模组-2.stp-1/DX-V4.02-03-08 大拇指连杆1.1.2.1.1-5.stp-1;数采手套标定工装-0815.stp-1/数采手套-右.stp-1/数采手套-左-2.stp-1/五指模组-2.stp-1/外壳-LD1.1.1-4.stp-1;数采手套标定工装-0815.stp-1/数采手套-右.stp-1/数采手套-左-2.stp-1/五指模组-2.stp-1/DX-V4.02-03-04 芯轴.10-3.stp-6,坐标系r_1_3,a_r_1_3,glove_joint_r_1_3,revolute,0,0.0185,-0.0047,1.5708,1.05,1.5708,glove_link_r_1_2,0,0,-1,0,0,-3.1416,3.1416,,,,,,,,
glove_link_r_1_4,-0.0273027203066123,0.00433297070625258,0.00241777178524144,0,0,0,0.00546091639196909,1.23496798110625E-07,1.24147394764359E-08,2.00681155066105E-08,1.50189627783358E-06,7.83448669164175E-09,1.5343988014535E-06,0,0,0,0,0,0,package://DexGlove_R_v3/meshes/glove_link_r_1_4.STL,1,1,1,1,0,0,0,0,0,0,package://DexGlove_R_v3/meshes/glove_link_r_1_4.STL,,数采手套标定工装-0815.stp-1/数采手套-右.stp-1/a2-4.stp-1/DX-V4.02-03-09 大拇指连杆2.1.1-32.stp-1;数采手套标定工装-0815.stp-1/数采手套-右.stp-1/a2-4.stp-1/外壳-LD2.1-33.stp-1;数采手套标定工装-0815.stp-1/数采手套-右.stp-1/a2-4.stp-1/DX-V4.02-03-04 芯轴.2-35.stp-1,坐标系r_1_4,a_r_1_4,glove_joint_r_1_4,revolute,0.050645,0.068265,0,0,0,0,glove_link_r_1_3,0,0,-1,0,0,-3.1416,3.1416,,,,,,,,
glove_link_r_1_5,-0.00576308402246906,0.0141715905203049,-1.25793672523661E-07,0,0,0,0.00340265713988394,2.78681728351716E-07,4.89958730526717E-09,-2.02672654226436E-12,1.06533402001961E-07,3.39837380726619E-12,2.61408336175759E-07,0,0,0,0,0,0,package://DexGlove_R_v3/meshes/glove_link_r_1_5.STL,1,1,1,1,0,0,0,0,0,0,package://DexGlove_R_v3/meshes/glove_link_r_1_5.STL,,数采手套标定工装-0815.stp-1/数采手套-右.stp-1/a2-4.stp-1/DX-V4.02-03-13-02 指尖上卡座.1-31.stp-1;数采手套标定工装-0815.stp-1/数采手套-右.stp-1/a2-4.stp-1/DX-V4.02-03-13-03 指尖上卡座上盖.1-34.stp-1;数采手套标定工装-0815.stp-1/数采手套-右.stp-1/数采手套-左-2.stp-1/五指模组-2.stp-1/DX-V4.02-03-13-01 指尖卡座.1.1-22.stp-1,坐标系r_1_5,a_r_1_5,glove_joint_r_1_5,revolute,-0.049966,0.0018328,0,0,0,0,glove_link_r_1_4,0,0,1,0,0,-3.1416,3.1416,,,,,,,,
glove_link_r_2_1,0.000747078578568816,0.0129611689921841,-0.00251565033753172,0,0,0,0.00185408804040392,1.3826521595293E-07,-5.67644938603439E-09,9.85785900713521E-10,5.23525487330407E-08,2.30715174168708E-08,1.44653206569029E-07,0,0,0,0,0,0,package://DexGlove_R_v3/meshes/glove_link_r_2_1.STL,1,1,1,1,0,0,0,0,0,0,package://DexGlove_R_v3/meshes/glove_link_r_2_1.STL,,数采手套标定工装-0815.stp-1/数采手套-右.stp-1/数采手套-左-2.stp-1/五指模组-2.stp-1/DX-V4.02-03-02 过渡连接杆.4-24.stp-2;数采手套标定工装-0815.stp-1/数采手套-右.stp-1/数采手套-左-2.stp-1/五指模组-2.stp-1/DX-V4.02-03-04 芯轴.10-3.stp-2,坐标系r_2_1,a_r_2_1,glove_joint_r_2_1,revolute,0.074852,0.024382,-0.017,3.1416,0,1.5708,base_link,0,0,-1,0,0,-3.1416,3.1416,,,,,,,,
glove_link_r_2_2,-0.0432047249107304,0.0188212441937342,-0.00192897538363368,0,0,0,0.00689032055294319,1.55216189683491E-06,2.28437720762957E-06,2.02312774105471E-09,4.03818002550441E-06,1.20327742388734E-08,5.502047740829E-06,0,0,0,0,0,0,package://DexGlove_R_v3/meshes/glove_link_r_2_2.STL,1,1,1,1,0,0,0,0,0,0,package://DexGlove_R_v3/meshes/glove_link_r_2_2.STL,,数采手套标定工装-0815.stp-1/数采手套-右.stp-1/数采手套-左-2.stp-1/五指模组-2.stp-1/盖板2.1.1.1.1-6.stp-1;数采手套标定工装-0815.stp-1/数采手套-右.stp-1/数采手套-左-2.stp-1/五指模组-2.stp-1/DX-V4.02-03-05 食指连杆1.2.1.1-7.stp-1;数采手套标定工装-0815.stp-1/数采手套-右.stp-1/数采手套-左-2.stp-1/五指模组-2.stp-1/DX-V4.02-03-04 芯轴.10-3.stp-10,坐标系r_2_2,a_r_2_2,glove_joint_r_2_2,revolute,0,0.0185,-0.0047,3.1416,-1.5708,0,glove_link_r_2_1,0,0,-1,0,0,-3.1416,3.1416,,,,,,,,
glove_link_r_2_3,0.0373475264795882,0.00422086383729055,-0.00270027714902976,0,0,0,0.00556501270482669,1.5408832390469E-07,6.31594517824487E-08,2.82032055407321E-09,2.78387109298286E-06,-2.2972311186309E-09,2.8588292783013E-06,0,0,0,0,0,0,package://DexGlove_R_v3/meshes/glove_link_r_2_3.STL,1,1,1,1,0,0,0,0,0,0,package://DexGlove_R_v3/meshes/glove_link_r_2_3.STL,,数采手套标定工装-0815.stp-1/数采手套-右.stp-1/数采手套-左-2.stp-1/五指模组-2.stp-1/盖板.2.1-8.stp-1;数采手套标定工装-0815.stp-1/数采手套-右.stp-1/数采手套-左-2.stp-1/五指模组-2.stp-1/DX-V4.02-03-03 食指连杆2.2.1.1.1-9.stp-1;数采手套标定工装-0815.stp-1/数采手套-右.stp-1/数采手套-左-2.stp-1/五指模组-2.stp-1/DX-V4.02-03-13.00 指尖卡座组件.1-2.stp-1/DX-V4.02-03-04 芯轴.10-3.stp-1,坐标系r_2_3,a_r_2_3,glove_joint_r_2_3,revolute,-0.073326,0.042996,-0.0001,0,0,0,glove_link_r_2_2,0,0,-1,0,0,-3.1416,3.1416,,,,,,,,
glove_link_r_2_4,0.00925772788453139,0.0130310623410815,4.64213166795346E-08,0,0,0,0.00329765568443397,2.60953801146797E-07,-5.2973147605156E-08,-3.04246220291912E-12,1.0984655124966E-07,-5.64849613594494E-12,2.70314932688703E-07,0,0,0,0,0,0,package://DexGlove_R_v3/meshes/glove_link_r_2_4.STL,1,1,1,1,0,0,0,0,0,0,package://DexGlove_R_v3/meshes/glove_link_r_2_4.STL,,数采手套标定工装-0815.stp-1/数采手套-右.stp-1/数采手套-左-2.stp-1/五指模组-2.stp-1/DX-V4.02-03-13.00 指尖卡座组件.1-2.stp-1/指尖外壳-0.stp-1;数采手套标定工装-0815.stp-1/数采手套-右.stp-1/数采手套-左-2.stp-1/五指模组-2.stp-1/DX-V4.02-03-13.00 指尖卡座组件.1-2.stp-1/DX-V4.02-03-13-01 指尖卡座-2.stp-1;数采手套标定工装-0815.stp-1/数采手套-右.stp-1/数采手套-左-2.stp-1/五指模组-2.stp-1/DX-V4.02-03-13.00 指尖卡座组件.1-2.stp-1/DX-V4.02-03-13-02 指尖上卡座-1.stp-1,坐标系r_2_4,a_r_2_4,glove_joint_r_2_4,revolute,0.064976,-0.00029093,0.0001,0,0,0,glove_link_r_2_3,0,0,-1,0,0,-3.1416,3.1416,,,,,,,,
